Question;Option A;Option B;Option C;Option D;Answer
Look at this series: -16, -25, -34, -43, ... What number should come next?;-41;-52;-50;-54;B
Look at this series: 97, 89, 81, 73, ... What number should come next?;61;65;67;80;B
Look at this series: 2, 4, 8, 16, ... What number should come next?;38;32;28;48;B
Look at this series: 0, 1, 2, 3, ... What number should come next?;4;19;8;-4;A
Look at this series: -1, -3, -5, -7, ... What number should come next?;-9;-17;-3;6;A
Look at this series: 7, 8, 0, 1, ... What number should come next?;17;-6;9;2;D
Look at this series: 6, 7, 0, 1, ... What number should come next?;6;16;2;-8;C
Look at this series: 200, 100, 50, 25, ... What number should come next?;30;7;12.5;20;C
Look at this series: 1.2, 2.6, 4.0, 5.4, ... What number should come next?;6.8;16.8;26.8;-1.2;A
Look at this series: 3, 9, 27, 81, ... What number should come next?;243;233;259;251;A
Look at this series: 3.7, 4.5, 5.3, 6.1, ... What number should come next?;6.9;20.9;1.9;13.9;A
Look at this series: -16, -22, -28, -34, ... What number should come next?;-50;-30;-35;-40;D
Look at this series: 81, 76, 71, 66, ... What number should come next?;53;78;70;61;D
Look at this series: -20, -21, -22, -23, ... What number should come next?;-16;-24;-10;-34;B
Look at this series: 1, 4, 16, 64, ... What number should come next?;256;264;272;253;A
Look at this series: 141, 35, 8, 2, ... What number should come next?;15;8;0;-1;C
Look at this series: -18, -28, -38, -48, ... What number should come next?;-48;-68;-58;-48;C
Look at this series: 59, 47, 35, 23, ... What number should come next?;11;8;21;31;A
Look at this series: 2, 3, 4, 5, ... What number should come next?;21;6;1;14;B
Look at this series: 4, 16, 64, 256, ... What number should come next?;1016;1036;1024;1026;C
Look at this series: 56, 44, 32, 20, ... What number should come next?;8;20;12;-2;A
Look at this series: 67, 57, 47, 37, ... What number should come next?;27;18;40;31;A
Look at this series: -3, -5, -7, -9, ... What number should come next?;-21;3;-11;-9;C
Look at this series: 2.3, 3.7, 5.1, 6.5, ... What number should come next?;0.9;7.9;27.9;15.9;B
Look at this series: 163, 54, 18, 6, ... What number should come next?;2;-1;7;22;A
Look at this series: -6, -10, -14, -18, ... What number should come next?;-9;-22;-19;-27;B
Look at this series: 9, 27, 81, 243, ... What number should come next?;732;729;728;739;B
Look at this series: 2, 8, 32, 128, ... What number should come next?;526;512;504;521;B
Look at this series: 10, 15, 20, 25, ... What number should come next?;30;27;44;34;A
Look at this series: 5, 15, 45, 135, ... What number should come next?;424;414;405;399;C
Look at this series: -15, -23, -31, -39, ... What number should come next?;-47;-39;-57;-27;A
Look at this series: 16, 22, 28, 34, ... What number should come next?;31;40;48;54;B
Look at this series: 74, 66, 58, 50, ... What number should come next?;57;49;42;34;C
Look at this series: 18, 20, 22, 24, ... What number should come next?;26;40;23;35;A
Look at this series: -4, -10, -16, -22, ... What number should come next?;-13;-28;-32;-20;B
Look at this series: 1, 2, 3, 4, ... What number should come next?;0;14;8;-3;A
Look at this series: -10, -16, -22, -28, ... What number should come next?;-38;-34;-15;-25;B
Look at this series: 4, 10, 16, 22, ... What number should come next?;45;27;32;28;D
Look at this series: 3.7, 5.1, 6.5, 7.9, ... What number should come next?;21.3;9.3;10.3;2.3;B
Look at this series: 1, 4, 9, 16, ... What number should come next?;17;28;42;25;D
Look at this series: 8, 16, 32, 64, ... What number should come next?;137;123;138;128;D
Look at this series: -11, -19, -27, -35, ... What number should come next?;-23;-35;-43;-53;C
Look at this series: 86, 80, 74, 68, ... What number should come next?;62;72;80;54;A
Look at this series: 16, 64, 256, 1024, ... What number should come next?;4096;4087;4105;4111;A
Look at this series: 14, 22, 30, 38, ... What number should come next?;45;63;46;54;C
Look at this series: 165, 41, 10, 2, ... What number should come next?;-6;0;8;16;B
Look at this series: -10, -11, -12, -13, ... What number should come next?;-4;-14;-23;-1;B
Look at this series: 0.5, 1.9, 3.3, 4.7, ... What number should come next?;22.1;15.1;-0.9;6.1;D
Look at this series: 69, 64, 59, 54, ... What number should come next?;50;41;66;49;D
Look at this series: 4, 9, 16, 25, ... What number should come next?;36;35;50;40;A
Look at this series: -6, -14, -22, -30, ... What number should come next?;-38;-31;-44;-19;A
Look at this series: 9, 14, 19, 24, ... What number should come next?;36;43;22;29;D
Look at this series: 1.5, 2.9, 4.3, 5.7, ... What number should come next?;24.1;6.1;11.1;7.1;D
Look at this series: -13, -17, -21, -25, ... What number should come next?;-12;-34;-22;-29;D
Look at this series: 2.5, 4.1, 5.7, 7.3, ... What number should come next?;22.9;2.9;8.9;10.9;C
Look at this series: 162, 54, 18, 6, ... What number should come next?;13;9;-8;2;D
Look at this series: 56, 51, 46, 41, ... What number should come next?;36;54;44;29;A
Look at this series: 60, 51, 42, 33, ... What number should come next?;24;14;41;32;A
Look at this series: -1, -6, -11, -16, ... What number should come next?;-1;-24;-21;-14;C
Look at this series: -6, -9, -12, -15, ... What number should come next?;-25;-14;-18;-7;C
Look at this series: 64, 256, 1024, 4096, ... What number should come next?;16394;16384;16380;16392;B
Look at this series: 1.0, 1.8, 2.6, 3.4, ... What number should come next?;15.2;7.2;4.2;-3.8;C
Look at this series: 161, 32, 6, 1, ... What number should come next?;12;0;-7;2;B
Look at this series: 9, 16, 25, 36, ... What number should come next?;48;49;67;51;B
Look at this series: 3.0, 3.6, 4.2, 4.8, ... What number should come next?;5.4;-1.59;8.4;19.4;A
Look at this series: 1, 5, 25, 125, ... What number should come next?;634;637;625;617;C
Look at this series: 160, 32, 6, 1, ... What number should come next?;0;-3;2;17;A
Look at this series: 3, 4, 5, 6, ... What number should come next?;10;21;7;5;C
Look at this series: 3.8, 5.2, 6.6, 8.0, ... What number should come next?;21.4;16.4;5.4;9.4;D
Look at this series: -20, -24, -28, -32, ... What number should come next?;-26;-24;-40;-36;D
Look at this series: 0.6, 1.0, 1.4, 1.8, ... What number should come next?;15.2;-6.8;4.2;2.2;D
Look at this series: 135, 67, 33, 16, ... What number should come next?;3;8;18;28;B
Look at this series: 162, 81, 40, 20, ... What number should come next?;24;13;10;1;C
Look at this series: 69, 56, 43, 30, ... What number should come next?;15;37;17;20;C
Look at this series: 73, 58, 43, 28, ... What number should come next?;9;21;27;13;D
Look at this series: 4.5, 6.1, 7.7, 9.3, ... What number should come next?;10.9;12.9;25.9;9.9;A
Look at this series: 9, 11, 13, 15, ... What number should come next?;17;16;36;19;A
Look at this series: 14, 23, 32, 41, ... What number should come next?;60;50;40;55;B
Look at this series: 104, 52, 26, 13, ... What number should come next?;15;4;6;22;C
Look at this series: 0.6, 2.1, 3.6, 5.1, ... What number should come next?;18.6;11.6;1.59;6.6;D
Look at this series: 5, 0, 1, 2, ... What number should come next?;-1;14;3;10;C
Look at this series: 7, 16, 25, 34, ... What number should come next?;53;49;40;43;D
Look at this series: 190, 47, 11, 2, ... What number should come next?;15;-4;3;0;D
Look at this series: 165, 82, 41, 20, ... What number should come next?;27;10;14;6;B
Look at this series: 6, 7, 8, 0, ... What number should come next?;13;-3;1;4;C
Look at this series: 123, 61, 30, 15, ... What number should come next?;4;25;9;7;D
Look at this series: 2, 4, 6, 8, ... What number should come next?;15;10;24;6;B
Look at this series: 75, 63, 51, 39, ... What number should come next?;45;27;21;30;B
Look at this series: 1.1, 1.6, 2.1, 2.6, ... What number should come next?;3.1;-6.9;10.1;22.1;A
Look at this series: 5, 8, 11, 14, ... What number should come next?;8;17;22;36;B
Look at this series: 1, 7, 13, 19, ... What number should come next?;30;15;43;25;D
Look at this series: -3, -6, -9, -12, ... What number should come next?;-5;-15;-5;-22;B
Look at this series: 1, 3, 9, 27, ... What number should come next?;84;81;77;97;B
Look at this series: 91, 78, 65, 52, ... What number should come next?;34;48;39;51;C
Look at this series: 4.0, 4.7, 5.4, 6.1, ... What number should come next?;-0.2;9.8;6.8;17.8;C
Look at this series: 4.7, 5.9, 7.1, 8.3, ... What number should come next?;16.5;4.5;19.5;9.5;D
Look at this series: 5, 20, 80, 320, ... What number should come next?;1273;1295;1280;1290;C
Look at this series: -1, -5, -9, -13, ... What number should come next?;1;-7;-17;-21;C
Look at this series: 4, 5, 6, 7, ... What number should come next?;17;0;4;-7;B
Look at this series: 6, 0, 1, 2, ... What number should come next?;0;22;11;3;D
Look at this series: -6, -12, -18, -24, ... What number should come next?;-37;-11;-30;-28;C
Look at this series: 4.3, 4.7, 5.1, 5.5, ... What number should come next?;5.9;14.9;-3.1;22.9;A
Look at this series: -3, -10, -17, -24, ... What number should come next?;-17;-29;-31;-38;C
Look at this series: 96, 81, 66, 51, ... What number should come next?;51;33;45;36;D
Look at this series: 15, 23, 31, 39, ... What number should come next?;47;57;65;39;A
Look at this series: -18, -24, -30, -36, ... What number should come next?;-42;-32;-38;-52;A
Look at this series: 0.5, 1.8, 3.1, 4.4, ... What number should come next?;3.7;5.7;8.7;15.7;B
Look at this series: 185, 46, 11, 2, ... What number should come next?;7;19;-8;0;D
Look at this series: 95, 88, 81, 74, ... What number should come next?;67;58;85;77;A
Look at this series: 81, 72, 63, 54, ... What number should come next?;45;57;38;54;A
Look at this series: 112, 22, 4, 0, ... What number should come next?;-7;6;15;0;D
Look at this series: 115, 38, 12, 4, ... What number should come next?;18;-7;1;9;C
Look at this series: -15, -21, -27, -33, ... What number should come next?;-45;-21;-38;-39;D
Look at this series: 15, 18, 21, 24, ... What number should come next?;22;34;27;47;C
Look at this series: 158, 39, 9, 2, ... What number should come next?;13;0;-1;2;B
Look at this series: 67, 53, 39, 25, ... What number should come next?;10;24;11;14;C
Look at this series: -3, -7, -11, -15, ... What number should come next?;0;-20;-19;-18;C
Look at this series: 96, 89, 82, 75, ... What number should come next?;88;68;71;64;B
Look at this series: 3, 10, 17, 24, ... What number should come next?;29;31;42;33;B
Look at this series: 8, 0, 1, 2, ... What number should come next?;3;2;9;22;A
Look at this series: 152, 38, 9, 2, ... What number should come next?;0;1;-1;13;A
Look at this series: 13, 21, 29, 37, ... What number should come next?;44;45;58;49;B
Look at this series: 10, 16, 22, 28, ... What number should come next?;33;34;35;48;B
Look at this series: 3, 15, 75, 375, ... What number should come next?;1875;1888;1866;1878;A
Look at this series: -4, -14, -24, -34, ... What number should come next?;-44;-31;-51;-35;A
Look at this series: 27, 81, 243, 729, ... What number should come next?;2187;2205;2196;2178;A
Look at this series: 93, 78, 63, 48, ... What number should come next?;53;38;33;27;C
Look at this series: 1.1, 1.9, 2.7, 3.5, ... What number should come next?;4.3;-4.7;6.3;14.3;A
Look at this series: 156, 52, 17, 5, ... What number should come next?;-1;10;1;20;C
Look at this series: 4, 12, 36, 108, ... What number should come next?;318;339;330;324;D
Look at this series: 1, 2, 4, 8, ... What number should come next?;9;30;16;19;C
Look at this series: 88, 76, 64, 52, ... What number should come next?;40;33;47;60;A
Look at this series: 4, 9, 14, 19, ... What number should come next?;26;24;40;18;B
Look at this series: 71, 64, 57, 50, ... What number should come next?;43;33;45;53;A
Look at this series: 65, 53, 41, 29, ... What number should come next?;33;12;17;25;C
Look at this series: 72, 60, 48, 36, ... What number should come next?;37;16;28;24;D
Look at this series: 72, 67, 62, 57, ... What number should come next?;42;67;58;52;D
Look at this series: 94, 79, 64, 49, ... What number should come next?;27;42;48;34;D
Look at this series: 3, 6, 9, 12, ... What number should come next?;10;15;33;23;B
Look at this series: 4, 8, 16, 32, ... What number should come next?;64;71;54;74;A
Look at this series: 4.7, 6.1, 7.5, 8.9, ... What number should come next?;10.3;21.3;14.3;8.3;A
Look at this series: 119, 23, 4, 0, ... What number should come next?;0;-4;16;2;A
Look at this series: 2, 10, 50, 250, ... What number should come next?;1242;1260;1250;1266;C
Look at this series: 69, 61, 53, 45, ... What number should come next?;28;37;48;40;B
Look at this series: 188, 62, 20, 6, ... What number should come next?;2;4;1;21;A
Look at this series: 2, 6, 18, 54, ... What number should come next?;176;160;169;162;D
Look at this series: 4, 5, 6, 0, ... What number should come next?;21;4;0;1;D
Look at this series: 100, 20, 4, 0, ... What number should come next?;0;10;-4;11;A
Look at this series: 157, 52, 17, 5, ... What number should come next?;18;2;-3;1;D
Look at this series: 198, 99, 49, 24, ... What number should come next?;12;17;26;2;A
Look at this series: 79, 71, 63, 55, ... What number should come next?;38;65;47;55;C
Look at this series: -18, -23, -28, -33, ... What number should come next?;-41;-24;-38;-36;C
Look at this series: -7, -17, -27, -37, ... What number should come next?;-50;-29;-47;-39;C
Look at this series: -14, -23, -32, -41, ... What number should come next?;-50;-56;-47;-37;A
Look at this series: 5, 25, 125, 625, ... What number should come next?;3127;3121;3141;3125;D
Look at this series: 2.7, 3.6, 4.5, 5.4, ... What number should come next?;7.3;24.3;6.3;-1.7;C
Look at this series: 100, 93, 86, 79, ... What number should come next?;81;72;62;84;B
Look at this series: 4.4, 5.7, 7.0, 8.3, ... What number should come next?;7.6;15.6;24.6;9.6;D
Look at this series: 54, 42, 30, 18, ... What number should come next?;25;2;6;12;C
Look at this series: 16, 25, 34, 43, ... What number should come next?;52;43;53;64;A
Look at this series: -4, -8, -12, -16, ... What number should come next?;-28;-20;-14;-7;B
Look at this series: 86, 72, 58, 44, ... What number should come next?;29;35;30;43;C
Look at this series: 2.4, 3.3, 4.2, 5.1, ... What number should come next?;12.0;25.0;-3.0;6.0;D
Look at this series: 3, 12, 48, 192, ... What number should come next?;781;760;768;773;C
Look at this series: 19, 23, 27, 31, ... What number should come next?;38;50;31;35;D
Look at this series: 123, 41, 13, 4, ... What number should come next?;21;-9;1;3;C
Look at this series: 130, 43, 14, 4, ... What number should come next?;-8;2;1;17;C
Look at this series: 2.3, 3.9, 5.5, 7.1, ... What number should come next?;7.7;20.7;8.7;13.7;C
Look at this series: -19, -26, -33, -40, ... What number should come next?;-28;-47;-48;-41;B
Look at this series: 20, 21, 22, 23, ... What number should come next?;24;43;20;28;A
Look at this series: 20, 22, 24, 26, ... What number should come next?;23;28;38;29;B
Look at this series: 119, 59, 29, 14, ... What number should come next?;27;-3;7;16;C
Look at this series: 5, 10, 20, 40, ... What number should come next?;80;78;95;89;A
Look at this series: 120, 24, 4, 0, ... What number should come next?;19;-6;8;0;D
Look at this series: 99, 89, 79, 69, ... What number should come next?;52;66;76;59;D
Look at this series: -13, -22, -31, -40, ... What number should come next?;-42;-58;-49;-34;C
Look at this series: 6, 13, 20, 27, ... What number should come next?;51;34;33;39;B
Look at this series: -12, -21, -30, -39, ... What number should come next?;-48;-53;-38;-41;A
Look at this series: 65, 51, 37, 23, ... What number should come next?;11;9;1;19;B
Look at this series: 3, 4, 5, 0, ... What number should come next?;1;14;5;0;A
Look at this series: 78, 73, 68, 63, ... What number should come next?;58;72;67;53;A
Look at this series: -17, -18, -19, -20, ... What number should come next?;-15;-24;-21;-3;C
Look at this series: 3.7, 4.7, 5.7, 6.7, ... What number should come next?;2.7;16.7;18.7;7.7;D
Look at this series: 53, 44, 35, 26, ... What number should come next?;14;34;17;26;C
Look at this series: 122, 24, 4, 0, ... What number should come next?;-4;0;20;5;B
Look at this series: 169, 84, 42, 21, ... What number should come next?;5;10;26;17;B
Look at this series: 2.1, 3.7, 5.3, 6.9, ... What number should come next?;8.5;5.5;24.5;12.5;A
Look at this series: 5, 12, 19, 26, ... What number should come next?;25;52;37;33;D
Look at this series: 2.3, 3.8, 5.3, 6.8, ... What number should come next?;1.3;13.3;24.3;8.3;D
Look at this series: 69, 63, 57, 51, ... What number should come next?;38;45;62;49;B
Look at this series: 4.7, 6.3, 7.9, 9.5, ... What number should come next?;20.1;30.1;4.1;11.1;D
Look at this series: 1, 8, 15, 22, ... What number should come next?;29;35;45;25;A
Look at this series: 5.0, 5.3, 5.6, 5.9, ... What number should come next?;19.2;2.2;11.2;6.2;D
Look at this series: 66, 57, 48, 39, ... What number should come next?;30;25;48;38;A
Look at this series: -18, -19, -20, -21, ... What number should come next?;-9;-14;-32;-22;D
Look at this series: 54, 44, 34, 24, ... What number should come next?;13;32;18;14;D
Look at this series: 78, 72, 66, 60, ... What number should come next?;47;54;64;56;B
Look at this series: 1.7, 2.3, 2.9, 3.5, ... What number should come next?;3.1;4.1;12.1;16.1;B
Look at this series: 82, 74, 66, 58, ... What number should come next?;44;52;65;50;D
Look at this series: 126, 42, 14, 4, ... What number should come next?;1;17;0;7;A
Look at this series: 16, 26, 36, 46, ... What number should come next?;56;76;60;53;A
Look at this series: 11, 13, 15, 17, ... What number should come next?;29;19;39;12;B
Look at this series: 1, 3, 5, 7, ... What number should come next?;21;18;9;0;C
Look at this series: -7, -9, -11, -13, ... What number should come next?;-20;-15;-1;-14;B
Look at this series: 85, 80, 75, 70, ... What number should come next?;66;65;55;84;B
Look at this series: 12, 15, 18, 21, ... What number should come next?;18;41;24;27;C
Look at this series: 12, 20, 28, 36, ... What number should come next?;52;59;44;35;C
Look at this series: 74, 61, 48, 35, ... What number should come next?;20;22;25;40;B
Look at this series: -11, -16, -21, -26, ... What number should come next?;-30;-31;-35;-13;B
Look at this series: 3, 6, 12, 24, ... What number should come next?;48;51;46;66;A
Look at this series: 124, 41, 13, 4, ... What number should come next?;-2;5;1;19;C
Look at this series: 3.9, 5.1, 6.3, 7.5, ... What number should come next?;8.7;24.7;2.7;14.7;A
Look at this series: 153, 30, 6, 1, ... What number should come next?;13;7;-9;0;D
Look at this series: 102, 20, 4, 0, ... What number should come next?;0;-9;1;16;A
Look at this series: 93, 82, 71, 60, ... What number should come next?;54;49;39;61;B
Look at this series: 2, 11, 20, 29, ... What number should come next?;34;58;42;38;D
Look at this series: 148, 49, 16, 5, ... What number should come next?;7;1;-3;19;B
Look at this series: 90, 82, 74, 66, ... What number should come next?;52;58;77;60;B
Look at this series: 3, 4, 0, 1, ... What number should come next?;2;5;21;1;A
Look at this series: 135, 27, 5, 1, ... What number should come next?;15;-9;0;8;C
Look at this series: -12, -17, -22, -27, ... What number should come next?;-32;-33;-31;-22;A
Look at this series: 66, 53, 40, 27, ... What number should come next?;14;9;21;33;A
Look at this series: 4.4, 5.9, 7.4, 8.9, ... What number should come next?;10.4;17.4;5.4;25.4;A
Look at this series: 81, 75, 69, 63, ... What number should come next?;69;67;57;52;C
Look at this series: 4, 0, 1, 2, ... What number should come next?;3;-5;7;17;A
Look at this series: 142, 71, 35, 17, ... What number should come next?;25;7;8;12;C
Look at this series: -15, -25, -35, -45, ... What number should come next?;-40;-61;-46;-55;D
Look at this series: 4.4, 4.7, 5.0, 5.3, ... What number should come next?;5.6;12.6;4.6;16.6;A
Look at this series: 1.2, 1.9, 2.6, 3.3, ... What number should come next?;14.0;6.0;4.0;1.0;C
Look at this series: 74, 63, 52, 41, ... What number should come next?;30;25;49;31;A
Look at this series: 166, 33, 6, 1, ... What number should come next?;0;9;15;-4;A
Look at this series: 143, 35, 8, 2, ... What number should come next?;0;7;14;-5;A
Look at this series: -10, -14, -18, -22, ... What number should come next?;-22;-33;-14;-26;D
Look at this series: 99, 94, 89, 84, ... What number should come next?;84;69;79;99;C
Look at this series: 9, 18, 27, 36, ... What number should come next?;45;59;40;50;A
Look at this series: -9, -10, -11, -12, ... What number should come next?;-3;-2;-13;-18;C
Look at this series: 0.8, 2.1, 3.4, 4.7, ... What number should come next?;10.0;26.0;6.0;2.0;C
Look at this series: 13, 17, 21, 25, ... What number should come next?;34;19;29;49;C
Look at this series: 3.3, 4.7, 6.1, 7.5, ... What number should come next?;8.9;15.9;7.9;28.9;A
Look at this series: 2, 3, 4, 0, ... What number should come next?;14;3;1;-8;C
Look at this series: 2.6, 3.5, 4.4, 5.3, ... What number should come next?;18.2;6.2;7.2;2.2;B
Look at this series: -17, -20, -23, -26, ... What number should come next?;-29;-14;-27;-35;A
Look at this series: 7, 0, 1, 2, ... What number should come next?;3;-5;8;20;A
Look at this series: 146, 29, 5, 1, ... What number should come next?;6;-2;0;14;C
Look at this series: 16, 20, 24, 28, ... What number should come next?;24;48;38;32;D
Look at this series: 100, 86, 72, 58, ... What number should come next?;44;51;39;64;A
Look at this series: 86, 75, 64, 53, ... What number should come next?;42;33;45;62;A
Look at this series: 164, 41, 10, 2, ... What number should come next?;10;0;7;-3;B
Look at this series: 2, 3, 4, 0, ... What number should come next?;1;0;5;19;A
Look at this series: 3, 11, 19, 27, ... What number should come next?;35;45;48;25;A
Look at this series: 0.6, 2.2, 3.8, 5.4, ... What number should come next?;25.0;10.0;4.0;7.0;D
Look at this series: 195, 97, 48, 24, ... What number should come next?;22;3;21;12;D
Look at this series: 0.2, 1.5, 2.8, 4.1, ... What number should come next?;-3.6;7.4;5.4;23.4;C
Look at this series: -12, -22, -32, -42, ... What number should come next?;-45;-52;-53;-42;B
Look at this series: 94, 83, 72, 61, ... What number should come next?;48;51;50;66;C
Look at this series: 5, 6, 7, 8, ... What number should come next?;5;0;15;-3;B
Look at this series: 3.9, 5.5, 7.1, 8.7, ... What number should come next?;10.3;5.3;23.3;12.3;A
Look at this series: 76, 66, 56, 46, ... What number should come next?;43;30;36;52;C
Look at this series: 100, 50, 25, 12, ... What number should come next?;20;6;8;-4;B
Look at this series: 158, 52, 17, 5, ... What number should come next?;12;8;1;-2;C
Look at this series: 62, 53, 44, 35, ... What number should come next?;22;35;26;36;C
Look at this series: 3.0, 4.3, 5.6, 6.9, ... What number should come next?;8.2;11.2;22.2;5.2;A
Look at this series: 11, 20, 29, 38, ... What number should come next?;57;47;38;55;B
Look at this series: 11, 21, 31, 41, ... What number should come next?;66;51;50;60;B
Look at this series: 16, 18, 20, 22, ... What number should come next?;19;25;42;24;D
Look at this series: 1.4, 2.2, 3.0, 3.8, ... What number should come next?;4.6;13.6;1.6;15.6;A
Look at this series: 60, 50, 40, 30, ... What number should come next?;20;32;12;27;A
Look at this series: -10, -20, -30, -40, ... What number should come next?;-48;-50;-32;-52;B
Look at this series: -10, -12, -14, -16, ... What number should come next?;-16;-8;-18;-21;C
Look at this series: 0.6, 2.2, 3.8, 5.4, ... What number should come next?;26.0;-1.0;7.0;17.0;C
Look at this series: -14, -21, -28, -35, ... What number should come next?;-27;-39;-42;-51;C
Look at this series: 15, 22, 29, 36, ... What number should come next?;59;43;33;45;B
Look at this series: 98, 85, 72, 59, ... What number should come next?;46;65;54;42;A
Look at this series: 168, 56, 18, 6, ... What number should come next?;-2;7;14;2;D
Look at this series: -4, -13, -22, -31, ... What number should come next?;-42;-26;-40;-31;C
Look at this series: 134, 67, 33, 16, ... What number should come next?;12;7;19;8;D
Look at this series: -11, -17, -23, -29, ... What number should come next?;-42;-22;-35;-31;C
Look at this series: 0.9, 2.5, 4.1, 5.7, ... What number should come next?;1.3;13.3;7.3;27.3;C
Look at this series: 4, 7, 10, 13, ... What number should come next?;6;21;16;30;C
Look at this series: 2.8, 3.2, 3.6, 4.0, ... What number should come next?;1.4;8.4;24.4;4.4;D
Look at this series: 100, 25, 6, 1, ... What number should come next?;11;9;-5;0;D
Look at this series: -7, -10, -13, -16, ... What number should come next?;-8;-21;-16;-19;D
Look at this series: 0.4, 1.5, 2.6, 3.7, ... What number should come next?;4.8;9.8;19.8;-3.2;A
Look at this series: 4.4, 5.5, 6.6, 7.7, ... What number should come next?;24.8;8.8;15.8;3.8;B
Look at this series: 2, 12, 22, 32, ... What number should come next?;37;58;48;42;D
Look at this series: 95, 83, 71, 59, ... What number should come next?;47;53;45;61;A
Look at this series: 3.4, 5.0, 6.6, 8.2, ... What number should come next?;3.8;11.8;9.8;19.8;C
Look at this series: 4, 20, 100, 500, ... What number should come next?;2491;2500;2512;2510;B
Look at this series: 4, 5, 0, 1, ... What number should come next?;18;-8;2;3;C
Look at this series: 58, 50, 42, 34, ... What number should come next?;26;16;35;40;A
Look at this series: 57, 43, 29, 15, ... What number should come next?;-8;18;11;1;D
Look at this series: 20, 30, 40, 50, ... What number should come next?;60;80;56;62;A
Look at this series: 166, 83, 41, 20, ... What number should come next?;1;10;14;28;B
Look at this series: 122, 61, 30, 15, ... What number should come next?;27;7;6;16;B
Look at this series: -9, -14, -19, -24, ... What number should come next?;-18;-35;-29;-28;C
Look at this series: 20, 25, 30, 35, ... What number should come next?;40;60;31;47;A
Look at this series: -7, -14, -21, -28, ... What number should come next?;-35;-37;-33;-24;A
Look at this series: -16, -23, -30, -37, ... What number should come next?;-45;-34;-29;-44;D
Look at this series: 181, 45, 11, 2, ... What number should come next?;0;13;-6;7;A
Look at this series: 154, 30, 6, 1, ... What number should come next?;0;16;4;-10;A
Look at this series: 75, 65, 55, 45, ... What number should come next?;36;35;49;34;B
Look at this series: 0.8, 2.6, 4.4, 6.2, ... What number should come next?;18.0;14.0;1.0;8.0;D
Look at this series: -8, -18, -28, -38, ... What number should come next?;-31;-51;-48;-42;C